Company Name,Sector,Funding Stage,Amount,Headquarters,Description,Funding Year,Year Founded,Founders,Investors
Ahaguru,Edtech,Series A,0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,2012,"Gomathi S, Dr Balaji Sampath",Anand Mahindra
Tekion,AI startup,Series C,150000000,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,2016,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures"
Brighteye Ventures,Edtech,,5400000,Paris,Education technology venture capital firm.,2020,2017,David guerin,Tandem
EzeRx,Medtech,Seed,200000,Kolkata,Developer and manufacturer of medical devices,2020,2018,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,Seed,3000000,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020,2018,Anjan Panneer Selvam,Tech Mahindra
Genius Teacher,Edtech,,2000000,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,2016,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP."
Ultraviolette Automotive,Automobiles,Series B,4000000,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,2014,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company
Tring,Social Media,,0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,2019,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh"
Rare Planet,Retail startup,Pre-series A,400000,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts
GoodGamer,Gaming,Seed,2500000,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,2020,Charles Creighton,
InnAccel,Medtech,Pre-series A,1500000,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,2012,Siraj Dhanani,Mount Judi Ventures
Tiliter,Retail,,7500000,Sydney,Software that uses computer vision to recognise products without barcodes,2020,2017,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec"
Slintel,Sles and marketing,,4200000,San Francisco Bay Area,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,2016,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners"
SoOLEGAL,LegalTech,,4000000,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,2015,Manish Kaul,
HobSpace,Edtech,Seed,200000,Mumbai,India's Activity Hub for Kids,2020,2019,"Priya Goel Sheth, Harsh Jain",Artha Venture
Supplynote,SaaS startup,Seed,500000,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,2015,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV"
Hire Me Car,Car Service,Seed,0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,nan,Pankaj Sharma,
ShopUp,E-commerce,Series A,22000000,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,2017,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital"
Harmonizer India,Tech Startup,,0,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,2019,M R Srinivas,Kapil Dev
Zomato,FoodTech,,52000000,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,2008,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management"
Dukaan,Tech Startup,Seed,6000000,Mumbai,Developer of an android application designed for businesses to sell online.,2020,2020,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners."
CredR,Bike marketplace,,2000000,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,2014,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius"
Satyukt,Agri tech,Seed,500000,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,2018,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)"
RACEnergy,Automobiles,,0,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,2018,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)"
TREAD,Fitness startup,Pre-seed,1100000,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,2020,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal"
Anveshan,FoodTech,Pre-seed,100000,Bangalore,Provide quality and healthy food products,2020,2019,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital
TeaMonk,Food & Bevarages,Pre-series A,900000,Bangalore,India's Finest Specialty Tea company.,2020,2016,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures"
Fleetx,Tech Startup,Pre-series B,3000000,Gurugram,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,2017,"Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat"
ReNEWate,Real Estate,Pre-seed,0,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020,2018,Supratik Ghatak,Real Estate Accelerator Program
Tango Eye,SaaS startup,Seed,0,Chennai,Retail Video Analytics SaaS product,2020,2018,Surender Gounder,"Riso Investments, Lenskart"
Rare Planet,Reatil startup,Pre-series A,0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,2015,"Ranodeep Saha, Vijay Kumar",Venture Catalysts
Avataa Me,AR platform,Series A,7000000,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020,2014,Gaurav Baid,Sequoia Capital India
Arrival,EV startup,,118000000,London,Arrival is a technology company that specializes in developing electric vehicles.,2020,2015,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company"
Cover Genius,FinTech,,15000000,Sydney,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020,2014,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital"
Phononic Vibes,Deeptech,,2300000,Milano,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",2020,2018,"Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",
MikeLegal,LegalTech,Seed,0,Gurugram,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,2020,2017,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian"
Clair,FinTech,Seed,4500000,New York,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,2020,2019,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures"
Gourmet Garden,Consumer Goods,,0,Palmwoods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,2020,1999,Arjun Balaji,Advent Partners
Miko,AI startup,Pre-series B,3000000,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2020,2015,"Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital"
Razorpay,FinTech,Series D,100000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2020,2014,"Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India"
Ninjacart,Food Industry,,30000000,Bangalore,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",2020,2015,"Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart"
Wow! Momo,Food Industry,Debt,5000000,Kolkata,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,2020,2008,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell"
Pepper Content,Content marketplace,Series A,4200000,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020,2017,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari"
LIVSPACE,Interior Design,Debt,4000000,Bangalore,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",2020,2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners"
Acculi Labs,Healthcare,Seed,600000,Bangalore,Acculi Labs is a clinical grade smartphone based diagnostic tool,2020,2017,"HariPrasath M., Rupam Das",Startup Basket.
Your MD,Healthcare,,25000000,London,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,2020,2012,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital"
Antaios,Tech company,,11000000,France,Developer of memory-based technology intended to solve issues of advanced computing.,2020,2016,Jean Pierre Nozieres,
Unnati,AgriTech,Pre-series A,1700000,Noida,A helping hand to the farming community through Artificial Intelligence,2020,2017,"Amit Sinha, Ashok Prasad",NABVENTURES
Disprz,Edtech,Pre-series B,1600000,Chennai,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",2020,2015,"Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital"
Uni,FinTech,Seed,18500000,Mumbai,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,2020,nan,Nitin Gupta,"Lightspeed India Partners, Accel India"
Credit Wise Capital,FinTech,Seed,6000000,Mumbai,CreditWise Capital is a consumer finance company.,2020,1994,"Hirak Joshi, Aalesh Avlani",Venture Catalysts
Chargebee,SaaS startup,Series F,55000000,San Francisco Bay Area,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,2020,2011,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital"
Reliance Retail Ventures Ltd,Retail,,70000000000,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,2006,Mukesh Ambani,"Silver Lake, Mubadala Investment Company"
Winuall,Edtech,,2000000,Bangalore,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",2020,2019,"Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani"
Genrobotics,AI startup,,300000,Trivandrum,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2020,2015,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures
Livve,Rental space,Seed,1500000,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020,2015,Maya Lakshman,
Ergos,AgriTech,Series A,5000000,Samastipur,Ergos is building an integrated supply chain by setting up micro warehouses.,2020,2012,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures"
Krishitantra,Soil-Tech,Seed,1000000,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020,2017,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore"
PakkaProfile,Recruitment startup,Seed,0,Bangalore,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",2020,2019,"Nagmanjunath Shivakumar, Savio Sebastian",Java Capital
Monet Networks,AI startup,Bridge,500000,Irvine,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,2020,2014,Anurag Bist,"SenseAI Ventures, EvoNexus"
Unocoin,FinTech,Series A,0,Tumkur,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",2020,2013,"Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub"
Pesto,Edtech,,0,New Delhi,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,2020,2017,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini"
NirogStreet,Ayurveda tech,Pre-series A,2000000,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2020,2016,Ram N Kumar,"Wavemaker Partners, Subho Ray"
Bambrew,Packaging solution startup,Pre-seed,0,Bangalore,Bambrew is an online shop for reusable bamboo straws.,2020,2018,Vaibhav Anant,Upsparks
Omnify,SaaS startup,Pre-series A,0,San Francisco Bay Area,Omnify is a Global SaaS platform for Small Services Business,2020,2016,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma"
Fanball XI,Gaming,Seed,1000000,New Delhi,The gaming company mostly focused on fantasy football games,2020,nan,Vinayak Seth,Foxhog Ventures
Treebo Hotels,Hospitality,,6000000,Bangalore,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",2020,2015,"Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy"
GPS Renewables,Cleantech,Series A,3000000,Bangalore,To solve the urban waste problem by utilising local technologies and business models.,2020,2010,"Mainak, Sreekrishna","Triodos, Caspian"
Public,Social Media,,30000000,New Delhi,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,2020,2019,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners"
Legal Salah,LegalTech,Seed,1000000,Kolkata,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,2020,2015,CA Abhinit Singh,I2I Capitals
FanPlay,Gaming,Seed,0,New Delhi,FanPlay Technologies operates as a real-money gaming startup.,2020,2018,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal"
ECOSTP,Sanitation solutions,,19000000,Bangalore,Eco friendly zero power zero maintenance sewage treatment plant in India.,2020,2017,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre
Coralogix,SaaS startup,Series B,25000000,San Francisco,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,2020,2013,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners"
Equiwatt,Tech company,,300000,Newcastle Upon Tyne,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2020,2015,"Johnson Fernandes, Ravneet Kaur",Rising Stars
Reliance Retail Ventures,E-commerce,,800000000,Mumbai,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,2006,Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts"
Zhangmen,Edtech,,400000000,Shanghai,Zhangmen is an online tutoring platform provides tutoring courses to students.,2020,2005,Yi Zhang,"CICC Alpha, VMS Asset Management"
AgroWave,AgriTech,,500000,Gurugram,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2020,2017,Anu Meena,Sekhar Puli
Sapio Analytics,Tech company,,150000,Mumbai,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2020,2018,"Ashwin Srivastava, Hardik Somani",
Taimei,HealthCare,,176000000,Jiaxing,Taimei Technology provides a cloud platform for clinical research collaboration.,2020,2013,Lu Zhao,"Cowin Venture, ZSVC"
Avanse Financial Services,FinTech,,15000000,Mumbai,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",2020,2012,Amit Gainda,International Finance Corporation
Industry Buying,E-commerce,,15000000,New Delhi,India's largest industrial ecommerce platform,2020,2013,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT"
Hopscotch,E-commerce,,25000000,Mumbai,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2020,2011,Rahul Anand,"Marc Lore, Rise Capital"
Pristyn Care,HealthCare,,11000000,Gurugram,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,2020,2018,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures"
WoodenStreet,Home Design,,1000000,Rajastan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2020,2015,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund"
ACKO,InsureTech,,60000000,Mumbai,Acko General Insurance is a private sector general insurance company in India.,2020,2016,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures"
Farmers Fresh Zone,AgriTech,,470000,Kochi,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2020,2015,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam"
Invento,AI Startup,,0,Bangalore,Invento Robotics specializes in developing service robots intended for customer interactions.,2020,2016,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair"
Infurnia,Tech Startup,,240000,Bangalore,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2020,2014,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures"
AnalytIQSports's SuperCric,Entertainment,,0,Bangalore,SuperCric is India's first strategy Cricket Manager simulation game,2020,2019,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",
Snowflake,Tech company,,3000000000,California,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,2020,2012,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group"
GenieTalk,Tech company,,750000,Indore,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,2020,2016,"Santosh Kataria, Ankit Kimtee, Vivek Jain",
Classplus,EdTech,,10000000,Noida,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,2020,2018,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge"
Mobile Premier League,Entertainment,,74000000,Bangalore,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,2020,2018,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet"
Fourth Partner Energy,Solar solution,,16000000,Hyderabad,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2020,2010,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)"
Flipkart,E-commerce,,62000000,Bangalore,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,2020,2007,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart"
Vivriti Capital,FinTech,,1000000,Chennai,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2020,2017,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC"
InsuranceDekho,FinTech,,20000000,Ludhiana,The funding for branding and marketing activities as well as strengthening the product and technology teams,2020,2017,Ankit Agrawal,GirnarSoft
BestDoc,HealthCare,,2100000,Kochi,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2020,2016,"Afsal Salu, Fayaz Bin Abdu, Soudabi",
Byju’s,EdTech,,500000000,Bangalore,An Indian educational technology and online tutoring firm,2020,2011,Byju Raveendran,"Owl Ventures, Tiger Global Management"
Melorra,Jewellery startup,,12500000,Bangalore,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2020,2015,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings"
Reliance,Multinational conglomerate company,,2200000000,Mumbai,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",2020,1973,Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake"
Inflexor Ventures,FinTech,,10000000,Mumbai,Experienced Venture Capital-General Partner focused on Technology investments.,2020,2020,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",
Pandorum,Deeptech startup,,5060000,Bangalore,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2020,2011,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund"
SpeakIn,Social Network,,0,Noida,"AI-enabled network of speakers and thought leaders, aka. experts",2020,2018,Deepshikha Kumar,Homage Ventures.
LetsUp,Publication,,0,Mumbai,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2020,2015,Suhas raikar,
Newsreach,Publication,,0,Gujarat,NewsReach India offers partner publications a digital footprint,2020,2018,"Darshan Shah, Soniya Kundnani",Mumbai Angels
Dream11,Entertainment,,225000000,Mumbai,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,2020,2008,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings"
SignalX,SaaS platform,,750000,Hyderabad,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",2020,2018,Govind Balachandran,
JetSynthesys,Tech,,40000000,Mumbai,Gaming and entertainment startup,2020,2012,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan"
Vesta Space Technology,Tech Startup,,10000000,Pune,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,2020,2018,Arun Kumar Sureban,
Dozee,HealthTech,,1600000,Bangalore,Dozee offers health and wellness monitoring products.,2020,2015,Gaurav Parchani,
Rebel Foods,Food,,50000000,Pune,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",2020,2011,"Jaydeep Barman, Kallol Banerjee",Coatue Management
Nykaa,Fashion,,24700000,Mumbai,Cosmetics & beauty products online,2020,2012,Falguni Nayar,Steadview Capital
Ketto,Finance,,7700000,Mumbai,"Crowdfunding, Charity, E-commerce",2020,2012,"Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital"
Suryoday,Finance,,800000,Mumbai,Banks that extends two distinct fixed deposit schemes,2020,2008,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital"
SucSEED,Finance,,1300000,Hyderabad,Venture Partners,2020,2016,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal"
Unacademy,EdTech,,150000000,Bangalore,Unacademy is an Indian online education technology company,2020,2015,"Gaurav Munjal, ‎Roman Saini‎","Nexus Venture Partners, Sequoia Capital"
Strata,Real Estate,,19067328,Bangalore,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",2020,2019,"Lodha, Priyanka Rathore","Propstack, SAIF Partners"
3one4 Capital,Venture capital,,100000000,Bangalore,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2020,2016,"Pranav Pai, Siddarth Pai",
WE-Hub,Entreprenurship,,0,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2020,2018,Deepthi Ravula,
Zomato,Food devlivery,,62000000,Haryana,Get online food delivery from restaurants near you,2020,2008,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford"
Vicara,Tech Startup,,0,Bangalore,A deep tech startup pioneering in motion-based interfaces and insights.,2020,2017,"Abhishek Satish, Adarsh Warrier",
Gaana,Entertainment,,51000000,Gurugram,Gaana is a commercial music streaming service providing free and licensed music.,2020,2010,Pawan Agarwal,"Tencent Holdings, Times Internet"
EM3 Agri,AgriTech,,1000000,Noida,A pioneering organization in the farming-as-a service (FaaS) space,2020,2013,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund"
Plum,Cosmetics,,115000,Thane,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",2020,2013,Shankar Prasad,"Ronald Conway, Bay Partners"
Odwen,Warehouse,,54000,Noida,India's first do-it-yourself warehouse management system.,2020,2018,Vijay Anand Bhagavatula,Prospect Partners.
Fasal,AgriTech,,20000,Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2020,2018,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI"
Trukky,Logistics,,0,Ahmedabad,"Transportation, logistics services & cargo services.",2020,2015,"Saswat Sahu, Rishi Raj",Mumbai Angels.
BankBazaar,Online financial service,,9000000,Chennai,Check your latest Credit Score and get your Credit Report online in India for Free,2020,2008,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon"
Specsmakers,Eyeglasses,,3000000,Chennai,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",2020,2011,Pratik Shah,Eight Roads Ventures
Grinntech,Battery design,,2000000,Dehradun,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2020,2013,"Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan"
CreditMantri,Online credit management startup,,803146,Chennai,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2020,2012,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee"
Chai Waale,Beverage,,238000,Chennai,Given the rising trend in the number of tea stalls in the city,2020,2018,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj"
Deepsync,Tech Startup,,300000,Bangalore,"Deepsync is a revolutionary way to record your content, without you really speaking.",2020,2018,"Ishan Sharma, Rishikesh Kumar",Venkat Raju
ConnectedH,HealthCare,,0,Gurgaon,The company’s vision is simple – Connected Healthcare.,2020,2016,"Shubham Gupta, Suresh Singh",
Reliance Retail,E-commerce,,10220000,Mumbai,"Retailer delivering superior value to its customers, suppliers and shareholders.",2020,2006,Mukesh Ambani,Silver Lake Partners
QShala,EdTech,,300000,Bangalore,A platform that helps kids learn about life skills,2020,2014,"Sachin Ravi, Raghav Chakravarthy",
Pitstop,Car Service,,1020000,Bangalore,"Pitstop owns and operates a network of garages that provides car repair, detailing",2020,2015,Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence"
Zomato,Food devlivery,,100000000,Haryana,Get online food delivery from restaurants near you,2020,2008,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford"
Customfit ai,SaaS startup,,0,Bangalore,Operates on a SaaS model by providing a hyper-personalised website to users.,2020,2019,"Ashwin Kumar, Shoaib Mohammed",
Nirmata,Tech,,0,San Franciscao,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,2020,2013,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel"
Hire Me Car,TravelTech,Seed,0,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,2020,2015,Anmol Singh Jaggi,US based NRI Investors
Oga Fit,Fitness startup,Pre-series A,0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,2017,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah"
ShipsKart,E-commerce,Pre-series A,200000,New Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",2020,2018,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron
SquadStack,Tech company,Series A,5000000,San Francisco,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",2020,2014,"Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures"
Financepeer,EdTech,Pre-series A,3000000,Mumbai,Financepeer is an AI based peer to peer lending platform.,2020,2017,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture"
